invoice_id,invoice_number,order_id,customer_id,invoice_date,due_date,paid_date,invoice_status,subtotal_amount,tax_amount,freight_amount,total_amount,amount_paid,currency_code,payment_terms_days,created_at,updated_at,_loaded_at,_source_system
INV00020,AR-500020,ORD00020,CUST0020,2024-03-09,2024-04-23,2024-05-07,PAID,17946.63,1121.66,399.46,19467.75,19467.75,USD,45,2024-03-09 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00021,AR-500021,ORD00021,CUST0021,2024-03-13,2024-05-12,2024-05-25,PAID,8478.91,529.93,10.4,9019.24,9019.24,USD,60,2024-03-13 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00022,AR-500022,ORD00022,CUST0022,2024-03-14,2024-04-28,,VOID,31606.19,1975.39,36.03,33617.61,0,USD,45,2024-03-14 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00023,AR-500023,ORD00023,CUST0023,2024-03-16,2024-05-15,,OPEN,3104.71,194.04,395.41,3694.16,0,USD,60,2024-03-16 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00024,AR-500024,ORD00024,CUST0024,2024-03-17,2024-04-01,2024-03-25,PAID,23698.23,1481.14,448.21,25627.58,25627.58,USD,15,2024-03-17 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00025,AR-500025,ORD00025,CUST0025,2024-03-24,2024-04-23,,OPEN,41938.63,2621.16,175.43,44735.22,0,USD,30,2024-03-24 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00026,AR-500026,ORD00026,CUST0026,2024-03-26,2024-04-25,2024-05-01,PAID,20081.43,1255.09,56.89,21393.41,21393.41,USD,30,2024-03-26 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00027,AR-500027,ORD00027,CUST0027,2024-03-28,2024-04-12,,OPEN,16218.65,1013.67,411.87,17644.19,0,USD,15,2024-03-28 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00028,AR-500028,ORD00028,CUST0028,2024-04-05,2024-06-04,,WRITTEN_OFF,24441.14,1527.57,122.59,26091.3,2609.13,USD,60,2024-04-05 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00029,AR-500029,ORD00029,CUST0029,2024-04-08,2024-05-08,,WRITTEN_OFF,31468.62,1966.79,79.67,33515.08,3351.51,USD,30,2024-04-08 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00030,AR-500030,ORD00030,CUST0030,2024-04-11,2024-06-10,2024-06-11,PAID,28868.89,1804.31,139.35,30812.55,30812.55,USD,60,2024-04-11 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00031,AR-500031,ORD00031,CUST0031,2024-04-14,2024-05-14,2024-05-12,PAID,20023.25,1251.45,164.6,21439.3,21439.3,USD,30,2024-04-14 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00032,AR-500032,ORD00032,CUST0032,2024-04-12,2024-05-27,,OPEN,23668.4,1479.28,341.23,25488.91,0,USD,45,2024-04-12 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00033,AR-500033,ORD00033,CUST0033,2024-04-15,2024-05-30,2024-06-04,PAID,24195.68,1512.23,309.5,26017.41,26017.41,USD,45,2024-04-15 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00034,AR-500034,ORD00034,CUST0034,2024-04-23,2024-06-07,,OPEN,19511.98,1219.5,131.82,20863.3,0,USD,45,2024-04-23 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00035,AR-500035,ORD00035,CUST0035,2024-04-22,2024-05-07,2024-05-10,PAID,8688.55,543.03,396.97,9628.55,9628.55,USD,15,2024-04-22 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00036,AR-500036,ORD00036,CUST0036,2024-04-28,2024-05-28,2024-05-11,PARTIAL,33236.02,2077.25,175.38,35488.65,13811.44,USD,30,2024-04-28 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00037,AR-500037,ORD00037,CUST0037,2024-04-26,2024-06-25,2024-07-04,PAID,23368.3,1460.52,359.98,25188.8,25188.8,USD,60,2024-04-26 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00038,AR-500038,ORD00038,CUST0038,2024-05-02,2024-06-16,2024-06-12,PAID,24054.51,1503.41,120.97,25678.89,25678.89,USD,45,2024-05-02 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00039,AR-500039,ORD00039,CUST0039,2024-05-02,2024-06-01,,OPEN,5188.45,324.28,204.9,5717.63,0,USD,30,2024-05-02 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00040,AR-500040,ORD00040,CUST0040,2024-05-11,2024-06-25,2024-06-19,PAID,22266.82,1391.68,144.29,23802.79,23802.79,USD,45,2024-05-11 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00041,AR-500041,ORD00041,CUST0041,2024-05-07,2024-05-22,2024-05-12,PARTIAL,4826.74,301.67,121.14,5249.55,2927.14,USD,15,2024-05-07 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00042,AR-500042,ORD00042,CUST0042,2024-05-13,2024-05-28,2024-05-25,PARTIAL,22337.69,1396.11,153.86,23887.66,8498.95,USD,15,2024-05-13 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00043,AR-500043,ORD00043,CUST0043,2024-05-18,2024-07-17,2024-07-31,PAID,1670.24,104.39,36.1,1810.73,1810.73,USD,60,2024-05-18 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00044,AR-500044,ORD00044,CUST0044,2024-05-18,2024-06-02,2024-05-28,PAID,17810.87,1113.18,244.44,19168.49,19168.49,USD,15,2024-05-18 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00045,AR-500045,ORD00045,CUST0045,2024-05-22,2024-07-06,2024-07-20,PAID,37314.28,2332.14,54.88,39701.3,39701.3,USD,45,2024-05-22 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00046,AR-500046,ORD00046,CUST0046,2024-05-25,2024-07-24,2024-07-15,PAID,20072.5,1254.53,331.93,21658.96,21658.96,USD,60,2024-05-25 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00047,AR-500047,ORD00047,CUST0047,2024-05-28,2024-07-27,2024-07-23,PAID,4454.72,278.42,299.7,5032.84,5032.84,USD,60,2024-05-28 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00048,AR-500048,ORD00048,CUST0048,2024-06-04,2024-08-03,2024-08-13,PAID,14216.89,888.56,145.38,15250.83,15250.83,USD,60,2024-06-04 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00049,AR-500049,ORD00049,CUST0049,2024-05-31,2024-06-15,2024-07-03,PAID,28823.77,1801.49,89.43,30714.69,30714.69,USD,15,2024-05-31 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00050,AR-500050,ORD00050,CUST0050,2024-06-03,2024-07-03,,WRITTEN_OFF,10809.47,675.59,195.37,11680.43,1168.04,USD,30,2024-06-03 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00051,AR-500051,ORD00051,CUST0051,2024-06-06,2024-07-06,2024-07-03,PAID,26415.18,1650.95,178.11,28244.24,28244.24,USD,30,2024-06-06 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00052,AR-500052,ORD00052,CUST0052,2024-06-09,2024-06-24,2024-06-18,PAID,31161.13,1947.57,309.78,33418.48,33418.48,USD,15,2024-06-09 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00053,AR-500053,ORD00053,CUST0053,2024-06-17,2024-07-02,2024-07-02,PARTIAL,22621.38,1413.84,308.68,24343.9,8988.04,USD,15,2024-06-17 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00054,AR-500054,ORD00054,CUST0054,2024-06-15,2024-06-30,2024-06-23,PAID,7137.85,446.12,241.36,7825.33,7825.33,USD,15,2024-06-15 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00055,AR-500055,ORD00055,CUST0055,2024-06-20,2024-08-19,2024-08-15,PARTIAL,44179.99,2761.25,354.85,47296.09,27353.64,USD,60,2024-06-20 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00056,AR-500056,ORD00056,CUST0056,2024-06-28,2024-07-28,,OPEN,17155.16,1072.2,325.98,18553.34,0,USD,30,2024-06-28 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00057,AR-500057,ORD00057,CUST0057,2024-06-28,2024-07-13,2024-07-25,PAID,19828.13,1239.26,132.62,21200.01,21200.01,USD,15,2024-06-28 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00058,AR-500058,ORD00058,CUST0058,2024-07-04,2024-08-03,2024-08-07,PAID,24577.02,1536.06,145.66,26258.74,26258.74,USD,30,2024-07-04 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00059,AR-500059,ORD00059,CUST0059,2024-07-04,2024-08-03,,OPEN,7187.39,449.21,133.05,7769.65,0,USD,30,2024-07-04 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00060,AR-500060,ORD00060,CUST0060,2024-07-07,2024-08-21,2024-09-03,PAID,34972.33,2185.77,227.68,37385.78,37385.78,USD,45,2024-07-07 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00061,AR-500061,ORD00061,CUST0061,2024-07-08,2024-07-23,2024-07-23,PAID,16542.37,1033.9,279.09,17855.36,17855.36,USD,15,2024-07-08 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00062,AR-500062,ORD00062,CUST0062,2024-07-10,2024-09-08,2024-08-02,PARTIAL,30824.28,1926.52,344.58,33095.38,9169.6,USD,60,2024-07-10 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00063,AR-500063,ORD00063,CUST0063,2024-07-17,2024-09-15,2024-09-07,PAID,5193.27,324.58,235.44,5753.29,5753.29,USD,60,2024-07-17 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00064,AR-500064,ORD00064,CUST0064,2024-07-15,2024-08-14,2024-07-21,PARTIAL,1649.5,103.09,48.17,1800.76,532.68,USD,30,2024-07-15 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00065,AR-500065,ORD00065,CUST0065,2024-07-24,2024-09-22,2024-09-23,PAID,31633.8,1977.11,115.17,33726.08,33726.08,USD,60,2024-07-24 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00066,AR-500066,ORD00066,CUST0066,2024-07-24,2024-08-08,,OPEN,41466.33,2591.65,295.09,44353.07,0,USD,15,2024-07-24 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00067,AR-500067,ORD00067,CUST0067,2024-07-25,2024-09-23,2024-10-13,PAID,2966.33,185.4,251.11,3402.84,3402.84,USD,60,2024-07-25 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00068,AR-500068,ORD00068,CUST0068,2024-08-02,2024-09-16,2024-09-22,PAID,2858.93,178.68,277.62,3315.23,3315.23,USD,45,2024-08-02 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00069,AR-500069,ORD00069,CUST0069,2024-07-30,2024-08-14,2024-08-20,PAID,3737.61,233.6,97.16,4068.37,4068.37,USD,15,2024-07-30 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00070,AR-500070,ORD00070,CUST0070,2024-08-03,2024-08-18,2024-08-24,PAID,24041.83,1502.61,85.26,25629.7,25629.7,USD,15,2024-08-03 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00071,AR-500071,ORD00071,CUST0071,2024-08-08,2024-09-07,2024-09-21,PAID,25226.84,1576.68,335.75,27139.27,27139.27,USD,30,2024-08-08 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00072,AR-500072,ORD00072,CUST0072,2024-08-13,2024-10-12,2024-10-27,PAID,19361.61,1210.1,46.85,20618.56,20618.56,USD,60,2024-08-13 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00073,AR-500073,ORD00073,CUST0073,2024-08-13,2024-10-12,2024-10-21,PAID,29674.55,1854.66,240.26,31769.47,31769.47,USD,60,2024-08-13 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00074,AR-500074,ORD00074,CUST0074,2024-08-21,2024-10-05,,VOID,24866.14,1554.13,448.58,26868.85,0,USD,45,2024-08-21 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00075,AR-500075,ORD00075,CUST0075,2024-08-22,2024-10-21,2024-10-30,PAID,19518.82,1219.93,326.64,21065.39,21065.39,USD,60,2024-08-22 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00076,AR-500076,ORD00076,CUST0001,2024-08-23,2024-09-22,2024-09-23,PAID,24873.18,1554.57,335.06,26762.81,26762.81,USD,30,2024-08-23 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00077,AR-500077,ORD00077,CUST0002,2024-08-30,2024-10-29,,WRITTEN_OFF,258.75,16.17,15.6,290.52,29.05,USD,60,2024-08-30 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00078,AR-500078,ORD00078,CUST0003,2024-08-30,2024-09-14,2024-09-13,PAID,44705.19,2794.07,135.83,47635.09,47635.09,USD,15,2024-08-30 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00079,AR-500079,ORD00079,CUST0004,2024-09-01,2024-10-01,2024-10-13,PAID,1221.14,76.32,369.87,1667.33,1667.33,USD,30,2024-09-01 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00080,AR-500080,ORD00080,CUST0005,2024-09-05,2024-10-05,,OPEN,20851.55,1303.22,70.25,22225.02,0,USD,30,2024-09-05 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00081,AR-500081,ORD00081,CUST0006,2024-09-08,2024-10-23,2024-10-22,PAID,11431.1,714.44,115.31,12260.85,12260.85,USD,45,2024-09-08 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00082,AR-500082,ORD00082,CUST0007,2024-09-08,2024-11-07,2024-11-07,PAID,9980.32,623.77,34.74,10638.83,10638.83,USD,60,2024-09-08 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00083,AR-500083,ORD00083,CUST0008,2024-09-17,2024-10-17,2024-11-02,PAID,40481.33,2530.08,316.28,43327.69,43327.69,USD,30,2024-09-17 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00084,AR-500084,ORD00084,CUST0009,2024-09-14,2024-10-29,,OPEN,36423.27,2276.45,171.7,38871.42,0,USD,45,2024-09-14 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00085,AR-500085,ORD00085,CUST0010,2024-09-16,2024-10-31,2024-11-17,PAID,36817.09,2301.07,187.43,39305.59,39305.59,USD,45,2024-09-16 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00086,AR-500086,ORD00086,CUST0011,2024-09-20,2024-10-20,2024-10-30,PAID,38264.15,2391.51,417.89,41073.55,41073.55,USD,30,2024-09-20 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00087,AR-500087,ORD00087,CUST0012,2024-09-28,2024-10-13,2024-10-07,PAID,2092.91,130.81,242.97,2466.69,2466.69,USD,15,2024-09-28 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00088,AR-500088,ORD00088,CUST0013,2024-09-30,2024-10-30,2024-10-29,PARTIAL,30395.18,1899.7,448.82,32743.7,22446.47,USD,30,2024-09-30 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00089,AR-500089,ORD00089,CUST0014,2024-09-29,2024-10-29,2024-10-29,PAID,35439.98,2215.0,66.61,37721.59,37721.59,USD,30,2024-09-29 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00090,AR-500090,ORD00090,CUST0015,2024-10-02,2024-12-01,2024-11-23,PAID,2456.67,153.54,179.64,2789.85,2789.85,USD,60,2024-10-02 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00091,AR-500091,ORD00091,CUST0016,2024-10-10,2024-12-09,2024-12-16,PAID,6084.29,380.27,60.69,6525.25,6525.25,USD,60,2024-10-10 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00092,AR-500092,ORD00092,CUST0017,2024-10-10,2024-12-09,2024-12-22,PAID,25817.05,1613.57,252.53,27683.15,27683.15,USD,60,2024-10-10 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00093,AR-500093,ORD00093,CUST0018,2024-10-13,2024-11-12,,OPEN,35010.54,2188.16,145.54,37344.24,0,USD,30,2024-10-13 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00094,AR-500094,ORD00094,CUST0019,2024-10-14,2024-10-29,2024-10-29,PAID,19203.44,1200.21,156.74,20560.39,20560.39,USD,15,2024-10-14 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00095,AR-500095,ORD00095,CUST0020,2024-10-21,2024-11-05,2024-11-21,PAID,7824.17,489.01,157.37,8470.55,8470.55,USD,15,2024-10-21 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00096,AR-500096,ORD00096,CUST0021,2024-10-26,2024-11-25,2024-12-06,PAID,41608.54,2600.53,105.07,44314.14,44314.14,USD,30,2024-10-26 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00097,AR-500097,ORD00097,CUST0022,2024-10-27,2024-11-26,2024-11-17,PAID,38411.2,2400.7,50.57,40862.47,40862.47,USD,30,2024-10-27 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00098,AR-500098,ORD00098,CUST0023,2024-10-28,2024-11-27,2024-12-09,PAID,36950.99,2309.44,6.18,39266.61,39266.61,USD,30,2024-10-28 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00099,AR-500099,ORD00099,CUST0024,2024-10-29,2024-12-13,2024-12-20,PAID,1267.98,79.25,94.05,1441.28,1441.28,USD,45,2024-10-29 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00100,AR-500100,ORD00100,CUST0025,2024-11-03,2024-12-03,2024-12-12,PAID,33828.39,2114.27,246.96,36189.62,36189.62,USD,30,2024-11-03 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00101,AR-500101,ORD00101,CUST0026,2024-11-05,2024-11-20,2024-11-18,PAID,40795.3,2549.71,237.06,43582.07,43582.07,USD,15,2024-11-05 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00102,AR-500102,ORD00102,CUST0027,2024-11-08,2024-11-23,2024-11-14,PAID,35566.19,2222.89,278.08,38067.16,38067.16,USD,15,2024-11-08 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00103,AR-500103,ORD00103,CUST0028,2024-11-16,2024-12-01,,OPEN,29801.68,1862.61,298.34,31962.63,0,USD,15,2024-11-16 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00104,AR-500104,ORD00104,CUST0029,2024-11-17,2024-12-02,,OPEN,39066.62,2441.66,292.24,41800.52,0,USD,15,2024-11-17 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00105,AR-500105,ORD00105,CUST0030,2024-11-18,2025-01-17,2025-01-22,PAID,32008.57,2000.54,406.74,34415.85,34415.85,USD,60,2024-11-18 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00106,AR-500106,ORD00106,CUST0031,2024-11-19,2024-12-19,2024-11-25,PARTIAL,43513.91,2719.62,252.31,46485.84,25857.03,USD,30,2024-11-19 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00107,AR-500107,ORD00107,CUST0032,2024-11-24,2025-01-08,2025-01-09,PAID,17854.64,1115.91,70.65,19041.2,19041.2,USD,45,2024-11-24 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00108,AR-500108,ORD00108,CUST0033,2024-11-29,2025-01-13,2025-01-19,PAID,10820.16,676.26,440.21,11936.63,11936.63,USD,45,2024-11-29 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00109,AR-500109,ORD00109,CUST0034,2024-12-01,2024-12-16,2025-01-01,PAID,39570.81,2473.18,400.68,42444.67,42444.67,USD,15,2024-12-01 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00110,AR-500110,ORD00110,CUST0035,2024-11-30,2025-01-14,2024-12-29,PARTIAL,15544.93,971.56,176.78,16693.27,4484.32,USD,45,2024-11-30 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
