product_id,sku,product_name,product_category,product_subcategory,brand,unit_cost,list_price,unit_of_measure,weight_lbs,status,supplier_id,supplier_name,created_at,updated_at,_loaded_at,_source_system
PROD0019,SKU-ELE-0019,SummitCo Accessories 19,Electronics,Accessories,NorthPeak,66.6678,95.8903,PL,1.222,ACTIVE,SUP004,Supplier 4,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0020,SKU-HOM-0020,ClearPath Storage 20,Home,Storage,HarborLane,77.4122,130.1766,EA,23.7655,SEASONAL,SUP005,Supplier 5,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0021,SKU-BEV-0021,ClearPath Soft Drinks 21,Beverages,Soft Drinks,IronGate,10.9069,23.3228,EA,31.8898,ACTIVE,SUP006,Supplier 6,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0022,SKU-SNA-0022,SummitCo Chips 22,Snacks,Chips,NorthPeak,31.1443,54.2731,PL,25.9722,ACTIVE,SUP007,Supplier 7,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0023,SKU-APP-0023,SummitCo Bottoms 23,Apparel,Bottoms,ClearPath,70.3423,96.4653,CS,28.3509,ACTIVE,SUP008,Supplier 8,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0024,SKU-ELE-0024,IronGate Power 24,Electronics,Power,IronGate,45.5441,90.9983,CS,18.702,SEASONAL,SUP009,Supplier 9,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0025,SKU-HOM-0025,NorthPeak Storage 25,Home,Storage,SummitCo,24.6426,54.9399,CS,9.9058,ACTIVE,SUP010,Supplier 10,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0026,SKU-BEV-0026,BlueOrchard Juice 26,Beverages,Juice,SummitCo,57.6255,94.3247,EA,19.6045,ACTIVE,SUP011,Supplier 11,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0027,SKU-SNA-0027,ClearPath Nuts 27,Snacks,Nuts,SummitCo,30.578,69.1787,PL,0.604,DISCONTINUED,SUP012,Supplier 12,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0028,SKU-APP-0028,IronGate Tops 28,Apparel,Tops,HarborLane,22.4119,38.49,PL,19.1485,ACTIVE,SUP013,Supplier 13,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0029,SKU-ELE-0029,HarborLane Audio 29,Electronics,Audio,BlueOrchard,67.917,92.1641,PL,9.8835,ACTIVE,SUP014,Supplier 14,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0030,SKU-HOM-0030,BlueOrchard Bedding 30,Home,Bedding,ClearPath,41.544,77.2951,PL,13.3655,ACTIVE,SUP015,Supplier 15,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0031,SKU-BEV-0031,ClearPath Water 31,Beverages,Water,HarborLane,27.7964,42.1148,CS,4.9583,ACTIVE,SUP001,Supplier 1,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0032,SKU-SNA-0032,BlueOrchard Candy 32,Snacks,Candy,SummitCo,17.7749,26.6418,PL,23.6656,ACTIVE,SUP002,Supplier 2,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0033,SKU-APP-0033,HarborLane Outerwear 33,Apparel,Outerwear,SummitCo,25.8474,35.2973,EA,14.5631,ACTIVE,SUP003,Supplier 3,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0034,SKU-ELE-0034,NorthPeak Power 34,Electronics,Power,IronGate,46.5661,72.8973,CS,27.9572,ACTIVE,SUP004,Supplier 4,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0035,SKU-HOM-0035,SummitCo Bedding 35,Home,Bedding,BlueOrchard,10.9635,13.859,CS,17.7307,ACTIVE,SUP005,Supplier 5,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0036,SKU-BEV-0036,NorthPeak Soft Drinks 36,Beverages,Soft Drinks,NorthPeak,23.3295,52.281,CS,19.7715,ACTIVE,SUP006,Supplier 6,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0037,SKU-SNA-0037,IronGate Candy 37,Snacks,Candy,SummitCo,6.9227,9.8412,EA,39.7579,ACTIVE,SUP007,Supplier 7,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0038,SKU-APP-0038,HarborLane Bottoms 38,Apparel,Bottoms,IronGate,52.5212,113.4118,CS,18.1305,ACTIVE,SUP008,Supplier 8,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0039,SKU-ELE-0039,IronGate Power 39,Electronics,Power,NorthPeak,84.1776,134.7841,PL,38.4123,ACTIVE,SUP009,Supplier 9,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0040,SKU-HOM-0040,NorthPeak Kitchen 40,Home,Kitchen,HarborLane,54.105,84.0977,EA,7.1178,ACTIVE,SUP010,Supplier 10,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0041,SKU-BEV-0041,BlueOrchard Soft Drinks 41,Beverages,Soft Drinks,SummitCo,36.2027,73.954,EA,9.4128,ACTIVE,SUP011,Supplier 11,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0042,SKU-SNA-0042,HarborLane Candy 42,Snacks,Candy,SummitCo,73.4176,97.7817,PL,23.6736,SEASONAL,SUP012,Supplier 12,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0043,SKU-APP-0043,ClearPath Tops 43,Apparel,Tops,HarborLane,37.574,70.4981,CS,33.0999,ACTIVE,SUP013,Supplier 13,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0044,SKU-ELE-0044,IronGate Accessories 44,Electronics,Accessories,SummitCo,67.8919,131.3233,CS,5.1493,ACTIVE,SUP014,Supplier 14,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0045,SKU-HOM-0045,IronGate Storage 45,Home,Storage,BlueOrchard,35.707,55.813,CS,3.4016,ACTIVE,SUP015,Supplier 15,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0046,SKU-BEV-0046,NorthPeak Water 46,Beverages,Water,NorthPeak,63.099,122.6815,EA,38.4841,SEASONAL,SUP001,Supplier 1,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0047,SKU-SNA-0047,ClearPath Candy 47,Snacks,Candy,SummitCo,50.9376,64.8872,PL,1.8012,ACTIVE,SUP002,Supplier 2,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0048,SKU-APP-0048,SummitCo Bottoms 48,Apparel,Bottoms,HarborLane,45.3145,79.6884,PL,17.5482,SEASONAL,SUP003,Supplier 3,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0049,SKU-ELE-0049,SummitCo Accessories 49,Electronics,Accessories,ClearPath,41.2759,70.9781,EA,34.3378,ACTIVE,SUP004,Supplier 4,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0050,SKU-HOM-0050,BlueOrchard Storage 50,Home,Storage,IronGate,43.3762,87.2717,EA,18.3021,ACTIVE,SUP005,Supplier 5,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0051,SKU-BEV-0051,IronGate Water 51,Beverages,Water,NorthPeak,12.0635,25.797,PL,34.8008,ACTIVE,SUP006,Supplier 6,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0052,SKU-SNA-0052,BlueOrchard Chips 52,Snacks,Chips,ClearPath,17.9756,29.9482,CS,30.4476,ACTIVE,SUP007,Supplier 7,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0053,SKU-APP-0053,ClearPath Outerwear 53,Apparel,Outerwear,BlueOrchard,13.3086,21.044,EA,1.349,ACTIVE,SUP008,Supplier 8,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0054,SKU-ELE-0054,NorthPeak Accessories 54,Electronics,Accessories,IronGate,61.0571,98.1409,CS,3.9097,DRAFT,SUP009,Supplier 9,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0055,SKU-HOM-0055,HarborLane Kitchen 55,Home,Kitchen,BlueOrchard,40.5695,56.1922,PL,11.8161,ACTIVE,SUP010,Supplier 10,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0056,SKU-BEV-0056,HarborLane Water 56,Beverages,Water,BlueOrchard,71.3647,169.654,PL,5.9568,ACTIVE,SUP011,Supplier 11,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0057,SKU-SNA-0057,NorthPeak Candy 57,Snacks,Candy,SummitCo,44.4299,100.466,CS,13.727,ACTIVE,SUP012,Supplier 12,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0058,SKU-APP-0058,SummitCo Bottoms 58,Apparel,Bottoms,IronGate,70.1953,110.5762,PL,39.9563,ACTIVE,SUP013,Supplier 13,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0059,SKU-ELE-0059,SummitCo Accessories 59,Electronics,Accessories,IronGate,39.3402,71.0875,PL,15.213,DISCONTINUED,SUP014,Supplier 14,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0060,SKU-HOM-0060,BlueOrchard Kitchen 60,Home,Kitchen,HarborLane,83.4139,127.175,CS,1.9372,ACTIVE,SUP015,Supplier 15,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0061,SKU-BEV-0061,ClearPath Juice 61,Beverages,Juice,ClearPath,77.858,131.4567,EA,19.9141,ACTIVE,SUP001,Supplier 1,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0062,SKU-SNA-0062,NorthPeak Candy 62,Snacks,Candy,BlueOrchard,82.1417,134.0383,EA,21.1329,ACTIVE,SUP002,Supplier 2,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0063,SKU-APP-0063,HarborLane Outerwear 63,Apparel,Outerwear,NorthPeak,14.3928,32.4064,CS,31.3047,ACTIVE,SUP003,Supplier 3,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0064,SKU-ELE-0064,SummitCo Power 64,Electronics,Power,ClearPath,59.6481,119.1359,PL,15.3244,ACTIVE,SUP004,Supplier 4,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0065,SKU-HOM-0065,IronGate Storage 65,Home,Storage,NorthPeak,75.7137,137.1281,PL,2.9231,ACTIVE,SUP005,Supplier 5,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0066,SKU-BEV-0066,BlueOrchard Water 66,Beverages,Water,NorthPeak,84.7876,178.7985,PL,28.2149,ACTIVE,SUP006,Supplier 6,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0067,SKU-SNA-0067,NorthPeak Chips 67,Snacks,Chips,SummitCo,59.7551,136.7757,EA,11.876,ACTIVE,SUP007,Supplier 7,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0068,SKU-APP-0068,ClearPath Tops 68,Apparel,Tops,HarborLane,22.6463,39.039,EA,7.1678,ACTIVE,SUP008,Supplier 8,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0069,SKU-ELE-0069,IronGate Audio 69,Electronics,Audio,HarborLane,53.6261,81.8846,EA,18.5538,ACTIVE,SUP009,Supplier 9,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0070,SKU-HOM-0070,BlueOrchard Bedding 70,Home,Bedding,SummitCo,57.5144,131.3482,PL,21.9546,ACTIVE,SUP010,Supplier 10,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0071,SKU-BEV-0071,BlueOrchard Water 71,Beverages,Water,ClearPath,83.9813,133.8685,CS,18.3821,ACTIVE,SUP011,Supplier 11,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0072,SKU-SNA-0072,BlueOrchard Nuts 72,Snacks,Nuts,IronGate,72.9002,100.0666,CS,23.0775,DRAFT,SUP012,Supplier 12,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0073,SKU-APP-0073,BlueOrchard Bottoms 73,Apparel,Bottoms,SummitCo,4.31,9.5016,EA,22.724,ACTIVE,SUP013,Supplier 13,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0074,SKU-ELE-0074,ClearPath Power 74,Electronics,Power,BlueOrchard,82.8222,190.2599,CS,31.0745,ACTIVE,SUP014,Supplier 14,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0075,SKU-HOM-0075,SummitCo Bedding 75,Home,Bedding,ClearPath,20.5679,30.2071,PL,30.7453,ACTIVE,SUP015,Supplier 15,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0076,SKU-BEV-0076,ClearPath Soft Drinks 76,Beverages,Soft Drinks,NorthPeak,54.3305,124.3579,CS,31.5867,ACTIVE,SUP001,Supplier 1,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0077,SKU-SNA-0077,SummitCo Nuts 77,Snacks,Nuts,SummitCo,62.9197,85.1715,PL,16.737,ACTIVE,SUP002,Supplier 2,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0078,SKU-APP-0078,IronGate Outerwear 78,Apparel,Outerwear,SummitCo,74.808,124.9844,EA,10.4274,SEASONAL,SUP003,Supplier 3,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0079,SKU-ELE-0079,SummitCo Audio 79,Electronics,Audio,NorthPeak,82.3092,130.8233,CS,38.5232,ACTIVE,SUP004,Supplier 4,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0080,SKU-HOM-0080,BlueOrchard Kitchen 80,Home,Kitchen,IronGate,73.4616,153.0094,CS,3.7941,ACTIVE,SUP005,Supplier 5,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0081,SKU-BEV-0081,ClearPath Water 81,Beverages,Water,ClearPath,46.7672,82.9184,PL,10.634,ACTIVE,SUP006,Supplier 6,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0082,SKU-SNA-0082,HarborLane Candy 82,Snacks,Candy,BlueOrchard,80.0741,110.0697,EA,24.858,DISCONTINUED,SUP007,Supplier 7,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0083,SKU-APP-0083,NorthPeak Bottoms 83,Apparel,Bottoms,ClearPath,78.0086,117.3696,CS,36.3936,ACTIVE,SUP008,Supplier 8,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0084,SKU-ELE-0084,NorthPeak Audio 84,Electronics,Audio,SummitCo,12.1258,15.7896,CS,4.8216,ACTIVE,SUP009,Supplier 9,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0085,SKU-HOM-0085,ClearPath Storage 85,Home,Storage,ClearPath,13.6923,24.2585,PL,37.8498,ACTIVE,SUP010,Supplier 10,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0086,SKU-BEV-0086,ClearPath Juice 86,Beverages,Juice,NorthPeak,62.4444,141.638,CS,24.703,DISCONTINUED,SUP011,Supplier 11,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0087,SKU-SNA-0087,BlueOrchard Nuts 87,Snacks,Nuts,BlueOrchard,5.1991,8.7143,EA,34.2469,ACTIVE,SUP012,Supplier 12,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0088,SKU-APP-0088,ClearPath Outerwear 88,Apparel,Outerwear,SummitCo,32.8051,75.0236,EA,16.046,ACTIVE,SUP013,Supplier 13,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0089,SKU-ELE-0089,NorthPeak Accessories 89,Electronics,Accessories,ClearPath,80.7934,177.5693,EA,25.7398,ACTIVE,SUP014,Supplier 14,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0090,SKU-HOM-0090,HarborLane Kitchen 90,Home,Kitchen,IronGate,6.6727,10.9001,EA,2.9307,ACTIVE,SUP015,Supplier 15,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0091,SKU-BEV-0091,HarborLane Soft Drinks 91,Beverages,Soft Drinks,SummitCo,50.8766,111.1659,EA,31.588,ACTIVE,SUP001,Supplier 1,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0092,SKU-SNA-0092,HarborLane Nuts 92,Snacks,Nuts,IronGate,73.3185,103.8477,CS,31.9809,ACTIVE,SUP002,Supplier 2,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0093,SKU-APP-0093,HarborLane Tops 93,Apparel,Tops,IronGate,13.3738,22.227,CS,0.8281,ACTIVE,SUP003,Supplier 3,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0094,SKU-ELE-0094,ClearPath Accessories 94,Electronics,Accessories,NorthPeak,63.6917,118.148,CS,18.0414,ACTIVE,SUP004,Supplier 4,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0095,SKU-HOM-0095,IronGate Storage 95,Home,Storage,NorthPeak,11.497,21.0328,PL,31.3724,SEASONAL,SUP005,Supplier 5,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0096,SKU-BEV-0096,NorthPeak Juice 96,Beverages,Juice,NorthPeak,27.3845,54.4908,CS,33.9225,ACTIVE,SUP006,Supplier 6,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0097,SKU-SNA-0097,NorthPeak Chips 97,Snacks,Chips,NorthPeak,42.9472,98.6135,CS,24.4102,ACTIVE,SUP007,Supplier 7,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0098,SKU-APP-0098,ClearPath Bottoms 98,Apparel,Bottoms,SummitCo,54.0062,103.8631,CS,39.7862,ACTIVE,SUP008,Supplier 8,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0099,SKU-ELE-0099,ClearPath Audio 99,Electronics,Audio,NorthPeak,44.208,77.131,PL,26.1065,ACTIVE,SUP009,Supplier 9,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0100,SKU-HOM-0100,HarborLane Storage 100,Home,Storage,BlueOrchard,73.9031,128.9299,CS,33.1313,ACTIVE,SUP010,Supplier 10,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
