shipment_id,shipment_number,order_id,carrier_code,carrier_name,mode,shipment_status,origin_location_id,destination_location_id,planned_ship_date,actual_ship_date,planned_delivery_date,actual_delivery_date,freight_cost,weight_lbs,pallet_count,tracking_number,yard_checkin_at,yard_checkout_at,created_at,updated_at,_loaded_at,_source_system
SHP00019,TMS-900019,ORD00024,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0011,LOC0066,2024-03-22,2024-03-22,2024-03-26,2024-03-26,689.56,29880.3839,21,1Z37053101843,2024-03-22 07:00:00,2024-03-22 13:00:00,2024-03-17 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00020,TMS-900020,ORD00025,UPGF,UPS Freight,LTL,DELIVERED,LOC0013,LOC0069,2024-03-25,2024-03-25,2024-03-27,2024-03-30,1660.95,30307.8301,21,1Z45629350623,2024-03-25 18:00:00,2024-03-26 04:00:00,2024-03-20 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00021,TMS-900021,ORD00026,XPO,XPO Logistics,TL,PLANNED,LOC0007,LOC0070,2024-03-27,,2024-04-03,,1766.96,9378.136,18,1Z80259210186,2024-03-27 17:00:00,,2024-03-23 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00022,TMS-900022,ORD00027,ODFL,Old Dominion,TL,DELIVERED,LOC0009,LOC0060,2024-03-28,2024-03-27,2024-03-31,2024-03-31,2277.13,37787.8491,21,1Z40448310894,2024-03-27 08:00:00,2024-03-27 20:00:00,2024-03-26 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00023,TMS-900023,ORD00028,ODFL,Old Dominion,TL,DELIVERED,LOC0010,LOC0078,2024-03-31,2024-03-31,2024-04-05,2024-04-05,2055.56,19789.009,21,1Z89815845243,2024-03-31 11:00:00,2024-03-31 16:00:00,2024-03-29 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00024,TMS-900024,ORD00029,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0014,LOC0052,2024-04-02,2024-04-03,2024-04-05,2024-04-08,2101.02,6375.156,7,1Z67306330800,2024-04-03 16:00:00,2024-04-03 23:00:00,2024-04-01 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00025,TMS-900025,ORD00030,AMZL,Amazon Shipping,PARCEL,EXCEPTION,LOC0006,LOC0069,2024-04-08,2024-04-08,2024-04-12,2024-04-13,1553.87,247.7314,9,1Z34797175236,2024-04-08 18:00:00,2024-04-08 20:00:00,2024-04-04 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00026,TMS-900026,ORD00031,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0014,LOC0074,2024-04-09,2024-04-10,2024-04-17,2024-04-16,1078.19,20076.9416,1,1Z83176473029,2024-04-10 08:00:00,2024-04-10 18:00:00,2024-04-07 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00027,TMS-900027,ORD00033,UPGF,UPS Freight,LTL,DELIVERED,LOC0001,LOC0064,2024-04-16,2024-04-16,2024-04-20,2024-04-21,608.81,36839.5264,10,1Z23438655487,2024-04-16 09:00:00,2024-04-16 10:00:00,2024-04-13 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00028,TMS-900028,ORD00035,XPO,XPO Logistics,TL,IN_TRANSIT,LOC0010,LOC0078,2024-04-24,2024-04-23,2024-04-28,,1769.93,25067.7181,11,1Z53524294203,2024-04-23 06:00:00,2024-04-23 11:00:00,2024-04-19 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00029,TMS-900029,ORD00036,XPO,XPO Logistics,TL,EXCEPTION,LOC0008,LOC0057,2024-04-25,2024-04-25,2024-04-28,2024-05-01,573.91,969.2618,17,1Z23610685846,2024-04-25 06:00:00,2024-04-25 10:00:00,2024-04-22 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00030,TMS-900030,ORD00037,ODFL,Old Dominion,TL,DELIVERED,LOC0002,LOC0055,2024-04-26,2024-04-27,2024-05-03,2024-05-04,1598.01,878.1671,23,1Z66331888382,2024-04-27 15:00:00,2024-04-27 16:00:00,2024-04-25 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00031,TMS-900031,ORD00038,XPO,XPO Logistics,TL,DELIVERED,LOC0001,LOC0068,2024-05-02,2024-05-02,2024-05-08,2024-05-10,1059.32,4286.1046,17,1Z92763921662,2024-05-02 08:00:00,2024-05-02 12:00:00,2024-04-28 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00032,TMS-900032,ORD00039,AMZL,Amazon Shipping,TL,EXCEPTION,LOC0004,LOC0080,2024-05-03,2024-05-04,2024-05-11,2024-05-15,544.87,8429.4867,9,1Z82290736982,2024-05-04 17:00:00,2024-05-05 03:00:00,2024-05-01 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00033,TMS-900033,ORD00040,UPGF,UPS Freight,LTL,IN_TRANSIT,LOC0007,LOC0079,2024-05-07,2024-05-08,2024-05-11,,850.35,164.8591,22,1Z29302029849,2024-05-08 14:00:00,2024-05-08 22:00:00,2024-05-04 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00034,TMS-900034,ORD00041,FXFE,FedEx Freight,LTL,DELIVERED,LOC0015,LOC0067,2024-05-12,2024-05-12,2024-05-19,2024-05-19,696.45,2150.8642,6,1Z18049371942,2024-05-12 16:00:00,2024-05-12 20:00:00,2024-05-07 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00035,TMS-900035,ORD00042,ODFL,Old Dominion,TL,DELIVERED,LOC0001,LOC0057,2024-05-13,2024-05-13,2024-05-18,2024-05-17,1620.67,7202.99,12,1Z73971509018,2024-05-13 18:00:00,2024-05-13 19:00:00,2024-05-10 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00036,TMS-900036,ORD00043,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0015,LOC0066,2024-05-16,2024-05-16,2024-05-20,2024-05-20,2019.66,28991.407,16,1Z69270115309,2024-05-16 07:00:00,2024-05-16 14:00:00,2024-05-13 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00037,TMS-900037,ORD00044,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0014,LOC0079,2024-05-18,2024-05-18,2024-05-21,2024-05-20,1942.24,28508.5921,6,1Z64165220518,2024-05-18 08:00:00,2024-05-18 10:00:00,2024-05-16 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00038,TMS-900038,ORD00045,ODFL,Old Dominion,TL,DELIVERED,LOC0016,LOC0080,2024-05-24,2024-05-24,2024-06-01,2024-06-04,346.45,17303.3749,2,1Z44631764609,2024-05-24 17:00:00,2024-05-24 20:00:00,2024-05-19 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00039,TMS-900039,ORD00046,JBHT,J.B. Hunt,INTERMODAL,EXCEPTION,LOC0008,LOC0070,2024-05-25,2024-05-25,2024-06-01,2024-06-05,1286.72,28921.7369,20,1Z66243636723,2024-05-25 18:00:00,2024-05-26 06:00:00,2024-05-22 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00040,TMS-900040,ORD00047,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0018,LOC0052,2024-05-27,2024-05-28,2024-05-31,2024-06-02,111.96,39246.8811,17,1Z78070273416,2024-05-28 12:00:00,2024-05-28 15:00:00,2024-05-25 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00041,TMS-900041,ORD00048,XPO,XPO Logistics,TL,DELIVERED,LOC0002,LOC0063,2024-05-30,2024-05-30,2024-06-07,2024-06-07,1359.4,15933.847,8,1Z70468116976,2024-05-30 11:00:00,2024-05-30 16:00:00,2024-05-28 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00042,TMS-900042,ORD00049,XPO,XPO Logistics,TL,EXCEPTION,LOC0016,LOC0050,2024-06-05,2024-06-06,2024-06-07,2024-06-10,322.62,17347.6021,18,1Z12358361363,2024-06-06 11:00:00,2024-06-06 13:00:00,2024-05-31 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00043,TMS-900043,ORD00050,FXFE,FedEx Freight,LTL,DELIVERED,LOC0015,LOC0070,2024-06-08,2024-06-07,2024-06-15,2024-06-16,926.14,2326.8452,8,1Z73755857936,2024-06-07 14:00:00,2024-06-07 18:00:00,2024-06-03 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00044,TMS-900044,ORD00051,ODFL,Old Dominion,TL,DELIVERED,LOC0015,LOC0056,2024-06-11,2024-06-10,2024-06-17,2024-06-19,310.57,27691.2851,1,1Z58710757918,2024-06-10 11:00:00,2024-06-10 23:00:00,2024-06-06 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00045,TMS-900045,ORD00053,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0016,LOC0057,2024-06-15,2024-06-14,2024-06-21,2024-06-20,1987.56,31198.3319,14,1Z44819134547,2024-06-14 06:00:00,2024-06-14 09:00:00,2024-06-12 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00046,TMS-900046,ORD00054,AMZL,Amazon Shipping,PARCEL,EXCEPTION,LOC0007,LOC0070,2024-06-17,2024-06-17,2024-06-19,2024-06-22,334.48,17437.031,21,1Z25413826349,2024-06-17 09:00:00,2024-06-17 17:00:00,2024-06-15 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00047,TMS-900047,ORD00055,XPO,XPO Logistics,TL,IN_TRANSIT,LOC0017,LOC0052,2024-06-22,2024-06-21,2024-06-28,,1365.72,18206.3954,19,1Z33959708666,2024-06-21 13:00:00,2024-06-21 14:00:00,2024-06-18 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00048,TMS-900048,ORD00056,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0013,LOC0075,2024-06-23,2024-06-23,2024-06-28,2024-06-29,2352.54,38472.4346,25,1Z45425915860,2024-06-23 11:00:00,2024-06-23 20:00:00,2024-06-21 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00049,TMS-900049,ORD00057,XPO,XPO Logistics,TL,DELIVERED,LOC0017,LOC0068,2024-06-27,2024-06-27,2024-07-02,2024-07-02,2036.72,23030.4605,11,1Z87032437793,2024-06-27 12:00:00,2024-06-27 22:00:00,2024-06-24 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00050,TMS-900050,ORD00058,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0005,LOC0060,2024-06-29,2024-06-29,2024-07-02,2024-07-02,1251.51,29176.3873,11,1Z25935843638,2024-06-29 16:00:00,2024-06-29 22:00:00,2024-06-27 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00051,TMS-900051,ORD00059,ODFL,Old Dominion,TL,DELIVERED,LOC0018,LOC0067,2024-07-05,2024-07-06,2024-07-11,2024-07-13,2116.36,17769.1082,1,1Z25130010095,2024-07-06 17:00:00,2024-07-07 00:00:00,2024-06-30 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00052,TMS-900052,ORD00060,FXFE,FedEx Freight,LTL,DELIVERED,LOC0006,LOC0067,2024-07-07,2024-07-07,2024-07-09,2024-07-09,1667.05,6192.671,2,1Z37037422857,2024-07-07 10:00:00,2024-07-07 23:00:00,2024-07-03 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00053,TMS-900053,ORD00061,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0008,LOC0073,2024-07-07,2024-07-07,2024-07-15,2024-07-16,635.03,32951.6859,26,1Z51644554812,2024-07-07 16:00:00,2024-07-08 04:00:00,2024-07-06 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00054,TMS-900054,ORD00062,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0018,LOC0052,2024-07-10,2024-07-11,2024-07-15,2024-07-18,115.01,10593.7603,20,1Z98946820443,2024-07-11 16:00:00,2024-07-11 22:00:00,2024-07-09 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00055,TMS-900055,ORD00063,ODFL,Old Dominion,TL,DELIVERED,LOC0010,LOC0077,2024-07-17,2024-07-16,2024-07-24,2024-07-27,495.74,28687.5388,6,1Z35608636192,2024-07-16 17:00:00,2024-07-16 21:00:00,2024-07-12 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00056,TMS-900056,ORD00064,JBHT,J.B. Hunt,INTERMODAL,PLANNED,LOC0018,LOC0065,2024-07-20,,2024-07-25,,386.1,24548.2151,9,1Z52973918631,2024-07-20 10:00:00,,2024-07-15 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00057,TMS-900057,ORD00065,XPO,XPO Logistics,TL,EXCEPTION,LOC0010,LOC0080,2024-07-20,2024-07-20,2024-07-23,2024-07-27,1913.64,23129.2195,3,1Z80084670764,2024-07-20 06:00:00,2024-07-20 19:00:00,2024-07-18 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00058,TMS-900058,ORD00066,UPGF,UPS Freight,LTL,DELIVERED,LOC0018,LOC0074,2024-07-23,2024-07-22,2024-07-25,2024-07-25,297.85,9329.2595,7,1Z55798672860,2024-07-22 12:00:00,2024-07-22 21:00:00,2024-07-21 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00059,TMS-900059,ORD00067,ODFL,Old Dominion,TL,CANCELLED,LOC0017,LOC0079,2024-07-27,2024-07-27,2024-07-30,,2392.2,34603.7284,21,1Z22922713498,,,2024-07-24 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00060,TMS-900060,ORD00068,JBHT,J.B. Hunt,INTERMODAL,EXCEPTION,LOC0002,LOC0069,2024-07-30,2024-07-31,2024-08-02,2024-08-06,967.88,33450.8663,4,1Z46017062900,2024-07-31 15:00:00,2024-07-31 19:00:00,2024-07-27 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00061,TMS-900061,ORD00069,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0016,LOC0051,2024-08-02,2024-08-02,2024-08-08,2024-08-08,771.24,27381.6078,11,1Z20797095521,2024-08-02 14:00:00,2024-08-03 03:00:00,2024-07-30 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00062,TMS-900062,ORD00070,FXFE,FedEx Freight,LTL,PLANNED,LOC0007,LOC0062,2024-08-04,,2024-08-10,,2087.36,17845.5865,4,1Z83897401556,2024-08-04 07:00:00,,2024-08-02 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00063,TMS-900063,ORD00071,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0011,LOC0051,2024-08-09,2024-08-09,2024-08-16,2024-08-15,287.61,2326.5456,26,1Z84096380671,2024-08-09 13:00:00,2024-08-10 01:00:00,2024-08-05 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00064,TMS-900064,ORD00072,FXFE,FedEx Freight,LTL,DELIVERED,LOC0014,LOC0069,2024-08-13,2024-08-13,2024-08-17,2024-08-17,124.1,28294.8818,18,1Z95924681602,2024-08-13 16:00:00,2024-08-13 23:00:00,2024-08-08 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00065,TMS-900065,ORD00073,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0003,LOC0071,2024-08-16,2024-08-16,2024-08-24,2024-08-23,2233.43,4502.386,26,1Z51600532089,2024-08-16 17:00:00,2024-08-17 07:00:00,2024-08-11 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00066,TMS-900066,ORD00074,AMZL,Amazon Shipping,PARCEL,EXCEPTION,LOC0016,LOC0059,2024-08-15,2024-08-15,2024-08-23,2024-08-26,1319.98,5771.2023,13,1Z86662878906,2024-08-15 12:00:00,2024-08-16 02:00:00,2024-08-14 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00067,TMS-900067,ORD00075,ODFL,Old Dominion,TL,EXCEPTION,LOC0018,LOC0058,2024-08-19,2024-08-19,2024-08-26,2024-08-28,370.29,261.0017,20,1Z84707012032,2024-08-19 06:00:00,2024-08-19 15:00:00,2024-08-17 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00068,TMS-900068,ORD00076,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0017,LOC0058,2024-08-21,2024-08-21,2024-08-24,2024-08-26,457.61,9312.0553,9,1Z23719526646,2024-08-21 11:00:00,2024-08-21 15:00:00,2024-08-20 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00069,TMS-900069,ORD00077,UPGF,UPS Freight,LTL,DELIVERED,LOC0018,LOC0053,2024-08-28,2024-08-28,2024-09-05,2024-09-06,757.86,2875.8677,4,1Z76918148784,2024-08-28 13:00:00,2024-08-29 00:00:00,2024-08-23 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00070,TMS-900070,ORD00078,ODFL,Old Dominion,TL,DELIVERED,LOC0003,LOC0061,2024-08-29,2024-08-29,2024-09-05,2024-09-04,820.67,18954.5988,20,1Z51486902665,2024-08-29 10:00:00,2024-08-29 20:00:00,2024-08-26 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00071,TMS-900071,ORD00079,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0006,LOC0049,2024-09-03,2024-09-03,2024-09-09,2024-09-12,810.09,33008.4417,23,1Z99076832382,2024-09-03 11:00:00,2024-09-03 18:00:00,2024-08-29 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00072,TMS-900072,ORD00080,XPO,XPO Logistics,TL,DELIVERED,LOC0015,LOC0071,2024-09-04,2024-09-04,2024-09-07,2024-09-07,1878.59,20478.4495,4,1Z96654273016,2024-09-04 13:00:00,2024-09-04 21:00:00,2024-09-01 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00073,TMS-900073,ORD00081,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0003,LOC0053,2024-09-05,2024-09-05,2024-09-13,2024-09-14,2150.22,35690.1861,21,1Z89808611962,2024-09-05 09:00:00,2024-09-05 14:00:00,2024-09-04 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00074,TMS-900074,ORD00082,XPO,XPO Logistics,TL,DELIVERED,LOC0005,LOC0072,2024-09-12,2024-09-12,2024-09-14,2024-09-15,993.63,37445.805,19,1Z28429701058,2024-09-12 14:00:00,2024-09-12 22:00:00,2024-09-07 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00075,TMS-900075,ORD00083,XPO,XPO Logistics,TL,DELIVERED,LOC0008,LOC0059,2024-09-15,2024-09-14,2024-09-17,2024-09-18,1837.93,5938.5506,6,1Z88078834027,2024-09-14 06:00:00,2024-09-14 17:00:00,2024-09-10 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00076,TMS-900076,ORD00084,AMZL,Amazon Shipping,PARCEL,PLANNED,LOC0003,LOC0065,2024-09-15,,2024-09-19,,940.24,1845.8141,7,1Z60643937028,2024-09-15 18:00:00,,2024-09-13 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00077,TMS-900077,ORD00086,XPO,XPO Logistics,TL,PLANNED,LOC0011,LOC0055,2024-09-23,,2024-09-25,,1714.15,21921.5933,9,1Z88440345235,2024-09-23 16:00:00,,2024-09-19 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00078,TMS-900078,ORD00087,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0003,LOC0065,2024-09-27,2024-09-27,2024-10-02,2024-10-02,956.2,38108.8198,17,1Z58987719238,2024-09-27 15:00:00,2024-09-28 02:00:00,2024-09-22 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00079,TMS-900079,ORD00088,ODFL,Old Dominion,TL,PLANNED,LOC0015,LOC0059,2024-09-29,,2024-10-05,,617.43,21635.0064,9,1Z28088328224,2024-09-29 08:00:00,,2024-09-25 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00080,TMS-900080,ORD00089,UPGF,UPS Freight,LTL,DELIVERED,LOC0014,LOC0070,2024-09-30,2024-09-30,2024-10-06,2024-10-05,1752.39,20249.6234,16,1Z37827184026,2024-09-30 16:00:00,2024-09-30 20:00:00,2024-09-28 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
