SalesKey,DateKey,RegionKey,BusinessUnitKey,CustomerKey,ProductKey,BookingsAmount,RecognizedNetAmount,COGSAmount,Units
42,20240624,3,3,32,9,21242.54,18090.03,11003.98,7
43,20240626,1,2,9,21,12338.03,10901.1,6508.35,34
44,20240628,1,1,5,23,15594.35,13820.89,9259.49,20
45,20240630,2,2,9,2,33642.74,31798.76,20638.24,40
46,20240702,1,2,14,22,25138.62,24132.15,17261.08,32
47,20240704,4,3,10,8,39345.87,34350.98,22162.57,21
48,20240706,1,1,22,14,53881.68,50735.84,35507.01,32
49,20240708,1,2,15,7,20539.87,19268.58,10951.8,59
50,20240710,2,1,13,13,24433.95,23043.18,16087.02,43
51,20240712,3,3,33,13,21094.34,17517.02,11937.25,69
52,20240714,3,1,38,9,23564.04,19420.07,13576.5,5
53,20240716,3,2,39,17,13094.92,11591.42,7810.91,15
54,20240718,4,1,34,18,26104.19,23663.14,14039.41,26
55,20240720,3,3,21,22,25118.41,20860.74,13829.01,16
56,20240722,4,2,26,23,41828.45,36183.63,21803.47,38
57,20240724,4,3,12,20,34057.39,28907.1,19166.51,73
58,20240726,3,1,28,19,22144.64,19978.69,10989.66,78
59,20240728,2,3,31,24,38771.16,34496.57,21566.12,22
60,20240730,3,1,16,22,38965.99,33610.81,22279.1,40
61,20240801,2,2,40,25,18558.11,15771.97,8740.07,10
62,20240803,4,2,26,8,29404.56,28020.21,18153.29,19
63,20240805,1,2,15,6,38834.73,31876.78,21601.74,67
64,20240807,1,2,9,15,29833.84,26958.18,19031.66,68
65,20240809,4,3,33,14,54430.95,49495.03,35216.05,71
66,20240811,4,2,16,21,28957.94,24436.84,17019.14,36
67,20240813,3,2,5,23,43993.24,39514.51,25943.14,37
68,20240815,1,1,10,8,19021.2,16555.62,11618.98,50
69,20240817,4,2,35,15,40615.64,37608.57,21095.36,54
70,20240819,1,3,25,16,10926.49,10324.81,6362.26,1
71,20240821,4,3,35,20,52308.86,45236.28,27879.02,29
72,20240823,4,2,26,24,30946.79,26643.34,16853.49,22
73,20240825,1,2,38,19,47503.77,45505.35,32614.72,4
74,20240827,2,1,17,13,11945.53,10563.34,7366.5,42
75,20240829,4,2,27,9,17948.03,15597.32,10596.96,11
76,20240831,3,1,5,25,30104.42,28067.97,15685.91,6
77,20240902,1,3,10,8,43448.96,41817.09,24416.64,17
78,20240904,4,3,17,25,30257.37,25330.21,18012.79,48
79,20240906,1,1,20,4,15886.09,14473.61,9800.77,75
80,20240908,4,2,13,3,9206.89,7980.47,5308.2,76
81,20240910,3,3,39,4,40458.88,36982.91,20981.26,73
82,20240912,3,1,33,21,44783.86,39055.13,24324.48,44
83,20240914,4,2,30,23,8594.65,7589.15,4806.47,20
84,20240916,3,3,35,25,28467.9,26477.12,18908.12,62
85,20240918,3,1,6,9,29849.07,28173.35,18332.98,58
86,20240920,4,2,2,16,19461.58,17315.09,11319.85,42
87,20240922,3,2,39,23,16546.47,14094.58,9663.69,36
88,20240924,2,3,27,16,34122.18,30624.45,17838.12,72
89,20240926,4,2,2,3,43633.74,40299.75,26589.92,38
90,20240928,3,2,36,17,18415.03,17011.22,10241.69,45
91,20240930,4,2,20,9,27998.68,26091.7,15817.69,30
92,20241002,2,1,14,24,13670.83,11605.0,6618.61,62
93,20241004,3,1,13,10,20995.48,19073.09,12955.12,30
94,20241006,2,2,3,2,24961.41,21600.11,14479.92,71
95,20241008,4,1,1,19,21730.42,20896.26,13758.89,37
96,20241010,1,2,31,4,30061.66,26636.74,15485.05,9
97,20241012,1,1,10,19,26833.25,22301.44,14652.17,39
98,20241014,4,3,39,20,12003.5,10289.74,6635.57,29
99,20241016,3,3,28,10,44457.6,38991.84,27467.64,73
100,20241018,2,3,14,9,37188.28,33895.06,22906.8,11
101,20241020,1,2,29,23,15381.68,13014.01,7323.78,77
102,20241022,3,3,30,3,30085.89,24817.73,14865.27,30
103,20241024,2,2,8,18,51423.82,48244.5,31660.93,29
104,20241026,1,1,11,10,38438.83,36757.58,25382.11,77
105,20241028,1,2,20,23,43201.01,39113.38,23431.41,52
106,20241030,1,3,3,14,52305.78,46817.38,29679.65,42
107,20241101,1,3,18,19,36374.54,29968.25,17648.82,6
108,20241103,4,2,12,19,43866.12,37122.96,23692.76,56
109,20241105,3,2,22,11,37834.88,33815.26,19122.91,14
110,20241107,3,3,26,25,48313.46,42007.13,28057.59,71
111,20241109,1,2,33,1,9724.77,8102.77,4804.2,70
112,20241111,4,3,29,25,29712.89,24606.15,15702.04,7
113,20241113,4,3,32,4,17567.24,15852.38,11218.8,4
114,20241115,2,2,36,1,53737.9,48973.0,28927.4,71
115,20241117,1,2,8,21,27175.56,23199.91,16078.44,20
116,20241119,3,2,31,16,31423.65,29145.14,18551.12,32
117,20241121,2,1,18,25,29468.96,24803.91,14445.89,54
118,20241123,1,2,20,19,23974.14,22491.52,13391.89,75
119,20241125,4,2,22,18,54948.41,49093.44,28241.55,70
120,20241127,2,3,25,8,25728.87,24697.86,17234.96,53
